installment_value,high_installment_flag,used_voucher,delivered_in_days,delivery_speed_flag,delivery_distance_in_km,is_repeat_buyer
55.93,1,0,24.0,3,,0
19.13,1,0,9.0,1,,0
53.23,1,0,11.0,1,975.06,0
58.65,1,0,11.0,1,364.39,0
70.55,0,0,16.0,3,668.49,0
205.98,0,0,43.0,3,430.52,1
37.1,1,0,54.0,3,485.85,0
32.14,1,0,7.0,1,436.11,1
20.0,1,1,7.0,1,436.11,1
20.0,1,1,7.0,1,436.11,1
25.46,1,0,15.0,3,,0
31.55,1,0,12.0,2,,0
25.51,1,0,7.0,1,313.4,0
29.26,1,0,11.0,1,2060.85,0
100.0,0,1,11.0,1,2060.85,0
52.59,1,0,18.0,3,864.49,0
54.44,1,0,17.0,3,335.07,0
63.1,1,0,13.0,2,,0
96.31,0,0,15.0,3,499.08,0
139.15,0,0,2.0,1,17.9,0
25.19,1,0,12.0,2,774.38,0
28.22,1,0,5.0,1,550.64,0
166.17,0,0,6.0,1,87.0,0
36.79,1,0,30.0,3,1634.3,0
40.14,1,0,52.0,3,2030.04,0
31.22,1,0,8.0,1,,0
66.79,0,0,19.0,3,1126.57,0
18.6,1,0,3.0,1,357.91,0
18.6,1,0,3.0,1,,0
32.85,1,0,5.0,1,198.74,0
80.5,0,0,15.0,3,1620.64,1
39.33,1,0,9.0,1,,1
11.67,1,0,13.0,2,607.09,0
62.76,1,0,19.0,3,371.04,0
49.9,1,0,7.0,1,167.41,0
73.16,0,0,14.0,3,1484.14,0
106.85,0,0,11.0,1,,0
57.34,1,0,7.0,1,338.06,0
31.75,1,0,7.0,1,304.02,0
85.38,0,0,10.0,1,296.27,0
85.38,0,0,10.0,1,296.27,0
85.38,0,0,10.0,1,296.27,0
85.38,0,0,10.0,1,296.27,0
14.26,1,0,24.0,3,2486.83,0
70.47,1,0,5.0,1,456.2,0
70.47,1,0,5.0,1,258.19,0
27.75,1,0,24.0,3,,0
228.61,0,0,12.0,2,,0
66.67,0,0,10.0,1,663.81,0
25.91,1,0,27.0,3,1724.78,0
120.8,0,0,18.0,3,,0
37.73,1,0,8.0,1,608.33,0
54.6,1,0,14.0,3,1256.01,0
10.71,1,0,9.0,1,,0
66.86,0,0,21.0,3,1045.86,0
17.33,1,0,5.0,1,,0
21.73,1,0,5.0,1,338.96,0
58.61,1,0,13.0,2,,0
67.36,0,0,9.0,1,153.11,0
30.0,1,0,11.0,1,604.44,0
27.33,1,0,7.0,1,,0
42.51,1,0,17.0,3,2377.81,0
33.79,1,0,15.0,3,853.41,0
163.83,0,0,11.0,1,740.58,0
163.83,0,0,11.0,1,740.58,0
163.83,0,0,11.0,1,740.58,0
96.67,0,0,6.0,1,285.7,0
87.04,0,0,27.0,3,559.8,0
87.04,0,0,27.0,3,559.8,0
22.86,1,0,15.0,3,501.41,0
22.86,1,0,15.0,3,501.41,0
22.86,1,0,15.0,3,501.41,0
22.86,1,0,15.0,3,501.41,0
87.39,0,0,13.0,2,965.03,0
71.1,0,0,6.0,1,,0
257.98,0,1,46.0,3,426.74,0
44.87,1,0,46.0,3,426.74,0
50.09,1,0,11.0,1,615.74,0
50.09,1,0,11.0,1,615.74,0
47.67,1,0,19.0,3,2125.4,0
24.25,1,0,7.0,1,357.71,0
123.85,1,0,17.0,3,458.47,0
77.54,0,0,13.0,2,578.62,0
21.28,1,0,10.0,1,,0
72.85,0,0,26.0,3,,0
14.24,1,0,11.0,1,1310.65,0
72.85,0,0,10.0,1,715.86,0
14.73,1,0,22.0,3,498.47,1
149.89,1,0,19.0,3,1476.16,0
149.89,1,0,19.0,3,1476.16,0
11.92,1,0,4.0,1,,0
104.65,0,0,32.0,3,615.88,0
94.78,0,0,6.0,1,73.59,0
21.58,1,0,17.0,3,836.78,0
21.22,1,0,16.0,3,227.45,0
10.02,1,0,17.0,3,,0
100.84,0,0,17.0,3,918.37,0
54.67,1,0,10.0,1,,0
74.49,0,0,17.0,3,396.82,0
22.69,1,0,8.0,1,446.02,0
22.69,1,0,8.0,1,367.8,0
44.36,1,0,4.0,1,,1
44.22,1,0,18.0,3,727.58,0
25.36,1,0,31.0,3,,0
43.42,1,0,37.0,3,116.23,0
23.31,1,0,10.0,1,7.29,0
100.14,0,0,37.0,3,627.85,0
100.14,0,0,37.0,3,627.85,0
29.69,1,0,10.0,1,341.25,0
242.02,0,0,13.0,2,1091.98,1
242.02,0,0,13.0,2,1091.98,1
105.37,0,0,10.0,1,,0
18.17,1,0,14.0,3,,1
42.86,1,0,7.0,1,,0
33.13,1,1,18.0,3,333.48,0
168.18,0,0,8.0,1,,0
24.9,1,0,23.0,3,,0
218.36,1,0,17.0,3,1762.34,0
114.42,0,0,16.0,3,351.77,0
125.87,0,0,7.0,1,,0
125.87,0,0,7.0,1,,0
33.1,1,0,11.0,1,1024.08,0
21.16,1,0,18.0,3,1658.73,0
173.99,0,0,7.0,1,1879.87,0
109.4,0,0,9.0,1,,1
109.4,0,0,9.0,1,,1
109.4,0,0,9.0,1,,1
109.4,0,0,9.0,1,,1
109.4,0,0,9.0,1,,1
109.4,0,0,9.0,1,,1
84.72,0,0,5.0,1,,0
15.66,1,0,38.0,3,2449.97,0
118.9,0,0,9.0,1,413.66,0
52.53,1,0,18.0,3,944.98,0
53.78,1,0,1.0,1,,0
107.04,0,0,2.0,1,,0
33.43,1,0,2.0,1,,0
29.32,1,0,2.0,1,132.62,0
44.02,1,0,63.0,3,,1
21.38,1,0,6.0,1,,0
230.4,0,0,14.0,3,597.12,0
230.4,0,0,14.0,3,597.12,0
230.4,0,0,14.0,3,597.12,0
230.4,0,0,14.0,3,597.12,0
166.41,0,0,5.0,1,470.32,0
39.3,1,0,22.0,3,,0
13.69,1,0,29.0,3,543.08,0
27.63,1,0,4.0,1,584.3,0
44.53,1,0,21.0,3,1257.38,0
71.14,0,0,12.0,2,,0
54.57,1,0,26.0,3,216.85,0
49.0,1,0,8.0,1,,0
25.8,1,0,12.0,2,208.4,0
59.75,1,0,29.0,3,343.29,0
219.23,0,0,17.0,3,1375.71,0
80.75,1,0,14.0,3,580.11,0
41.0,1,0,22.0,3,583.02,0
64.45,1,0,5.0,1,,0
21.16,1,0,8.0,1,363.49,0
45.86,1,0,16.0,3,,0
49.22,1,0,3.0,1,,0
128.42,0,0,5.0,1,477.91,0
42.46,1,0,39.0,3,1296.7,0
55.95,1,0,3.0,1,,0
34.26,1,0,12.0,2,817.43,0
73.3,1,0,9.0,1,910.23,0
119.94,0,0,19.0,3,,0
21.21,1,0,8.0,1,648.91,0
55.78,1,0,12.0,2,,0
